,score,rolling_avg_score
153,36.0849991934374,35.59602920436673
154,37.61699915919453,35.652069203114145
155,37.65799915827811,35.69393420217838
156,36.559499182831495,35.734394201274036
157,37.198499168548736,35.79388919994422
158,37.32299916576594,35.85441419859138
159,35.73599920123816,35.88694419786427
160,34.73849922353402,35.9026641975129
161,35.24349921224639,35.93914919669739
162,36.22049919040874,35.98933919557556
163,36.51099918391556,36.05145419418718
164,35.48149920692667,36.09445919322594
165,37.330499165598305,36.15066419196966
166,38.09899914842099,36.21294919057748
167,36.10949919288978,36.25748418958205
168,36.52149918368086,36.309649188416074
169,35.1959992133081,36.32774418801162
170,35.74599920101464,36.36413418719824
171,36.9989991730079,36.39615918648243
172,37.261999167129396,36.44810418532137
173,36.64149918099865,36.49198418434057
174,37.583999159932134,36.53232918343879
